sample	image	calibSP	calibOD	calibBF	tare.g	poids.g	volcell	dilution
MTPS.2004-10-20.H1+A1	2010-2017	2007	2008	2009	434.98	159.46	30	0.111062718
MTPS.2004-10-20.H1+A2	2018-2025	2007	2008	2009	434.98	159.46	30	0.111062718
MTPS.2004-10-20.H1+A3	2026-2033	2007	2008	2009	434.98	159.46	30	0.111062718
MTPS.2004-10-20.H1+B1	2034-2041	2007	2008	2009	877.62	159.44	25	0.035506419
MTPS.2004-10-20.H1+B2	2042-2049	2007	2008	2009	877.62	159.44	25	0.035506419
MTPS.2004-10-20.H1+B3	2050-2057	2007	2008	2009	877.62	159.44	25	0.035506419
MTLG.2004-10-20.H1+A1	1832-1839	1829	1830	1831	910.74	158.71	30	0.040689866
MTLG.2004-10-20.H1+A2	"1840-1843;1845;1847-1849"	1829	1830	1831	910.74	158.71	30	0.040689866
MTLG.2004-10-20.H1+A3	1850-1857	1829	1830	1831	910.74	158.71	30	0.040689866
MTLG.2004-10-20.H1+B1	1861-1868	1829	1830	1831	905.15	158.67	30	0.040992391
MTLG.2004-10-20.H1+B2	1871-1878	1829	1830	1831	905.15	158.67	30	0.040992391
MTLG.2004-10-20.H1+B3	1879-1886	1829	1830	1831	905.15	158.67	30	0.040992391
MTPS.2004-11-25.V1+A1	2128-2135	2125	2126	2127	290.87	159.29	30	0.23255814
MTPS.2004-11-25.V1+A2	2136-2143	2125	2126	2127	290.87	159.29	30	0.23255814
MTPS.2004-11-25.V1+A3	2144-2151	2125	2126	2127	290.87	159.29	30	0.23255814
MTPS.2004-11-25.V1+B1	2152-2159	2125	2126	2127	497.85	159.21	30	0.090361446
MTPS.2004-11-25.V1+B2	2160-2167	2125	2126	2127	497.85	159.21	30	0.090361446
MTPS.2004-11-25.V1+B3	2168-2175	2125	2126	2127	497.85	159.21	30	0.090361446
MTPS.2004-11-25.H1+A1	2179-2186	2176	2177	2178	790.77	159.92	30	0.048505984
MTPS.2004-11-25.H1+A2	"2187-2189;2192-2193;2195;2198-2199"	2176	2177	2178	790.77	159.92	30	0.048505984
MTPS.2004-11-25.H1+A3	2200-2207	2176	2177	2178	790.77	159.92	30	0.048505984
MTPS.2004-11-25.H1+B1	2208-2215	2176	2177	2178	1024.38	160.07	5	0.005900661
MTPS.2004-11-25.H1+B2	2216-2223	2176	2177	2178	1024.38	160.07	5	0.005900661
MTPS.2004-11-25.H1+B3	2224-2231	2176	2177	2178	1024.38	160.07	5	0.005900661
