Id,Area (ABD),Diameter (ABD),Volume (ABD),Diameter (ESD),Volume (ESD),Length,Width,Aspect Ratio,Transparency,Intensity,Sigma Intensity,Sum Intensity,Compactness,Elongation,Perimeter,Convex Perimeter,Roughness,Feret Max Angle,PPC,Ch1 Peak,Ch1 TOF,Ch2 Peak,Ch2 TOF,Ch3 Peak,Ch3 TOF,Avg Red,Avg Green,Avg Blue,Red Green Ratio,Blue Green,Red Blue Ratio,CaptureX,CaptureY,SaveX,SaveY,PixelW,PixelH,Cal Const,Timestamp,Filename
1,758.13,31.07,1.57e+004,34.98,2.24e+004,42.83,25.61,0.60,0.11,103.77,38.43,26981.00,1.85,3.54,132.92,109.96,1.21,-5.00,1.00,205.00,1972.00,239.00,6724.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,286,1,0,0,85,66,1.7076,"2008-03-11 16:00:20.893",S04.2008-03-10.300F4X3_000001.tif
2,1248.00,39.86,3.32e+004,46.61,5.30e+004,60.14,34.49,0.57,0.14,117.10,45.38,50120.00,1.84,3.50,169.90,146.51,1.16,85.00,1.00,225.00,5315.00,256.00,3511.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209,597,87,0,81,95,1.7076,"2008-03-11 16:00:21.133",S04.2008-03-10.300F4X3_000001.tif
3,486.95,24.90,8.08e+003,28.21,1.18e+004,32.24,23.44,0.73,0.12,112.33,42.77,18759.00,1.54,2.43,97.11,88.69,1.09,65.00,1.00,190.00,2317.00,245.00,6477.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,413,105,170,0,76,77,1.7076,"2008-03-11 16:00:21.564",S04.2008-03-10.300F4X3_000001.tif
4,358.66,21.37,5.11e+003,26.38,9.62e+003,30.89,20.49,0.66,0.19,64.56,29.33,7941.00,4.85,13.16,147.82,82.94,1.78,70.00,1.00,190.00,2317.00,245.00,6477.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,418,246,248,0,72,77,1.7076,"2008-03-11 16:00:21.564",S04.2008-03-10.300F4X3_000001.tif
5,3659.45,68.26,1.67e+005,76.32,2.33e+005,88.72,59.77,0.67,0.11,154.84,42.00,194328.00,1.77,3.26,285.50,239.91,1.19,15.00,1.00,190.00,2317.00,245.00,6477.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,474,320,322,0,111,95,1.7076,"2008-03-11 16:00:21.564",S04.2008-03-10.300F4X3_000001.tif
6,428.64,23.36,6.68e+003,29.89,1.40e+004,37.35,18.78,0.50,0.22,83.01,42.07,12202.00,5.17,14.18,166.90,93.98,1.78,15.00,1.00,244.00,0.00,269.00,2049.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498,241,435,0,81,71,1.7076,"2008-03-11 16:00:21.774",S04.2008-03-10.300F4X3_000001.tif
7,4318.44,74.15,2.13e+005,89.86,3.80e+005,100.62,80.22,0.80,0.17,147.16,46.23,217942.00,3.03,7.39,405.59,282.50,1.44,70.00,1.00,203.00,5.00,243.00,1762.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,457,271,518,0,109,116,1.7076,"2008-03-11 16:00:22.675",S04.2008-03-10.300F4X3_000001.tif
8,454.88,24.07,7.30e+003,31.75,1.68e+004,38.22,22.27,0.58,0.24,84.82,34.18,13232.00,2.50,5.66,119.43,99.80,1.20,-55.00,1.00,226.00,9477.00,244.00,3044.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,905,174,629,0,79,79,1.7076,"2008-03-11 16:00:23.316",S04.2008-03-10.300F4X3_000001.tif
9,405.31,22.72,6.14e+003,25.72,8.91e+003,29.87,18.49,0.62,0.12,100.77,37.14,14007.00,1.45,2.09,86.04,80.85,1.06,75.00,1.00,179.00,28.00,297.00,2327.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,621,338,710,0,72,77,1.7076,"2008-03-11 16:00:23.527",S04.2008-03-10.300F4X3_000001.tif
10,320.75,20.21,4.32e+003,29.23,1.31e+004,32.63,25.35,0.78,0.31,75.12,38.68,8263.00,5.45,15.06,148.24,91.90,1.61,85.00,1.00,179.00,28.00,297.00,2327.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117,669,784,0,75,79,1.7076,"2008-03-11 16:00:23.527",S04.2008-03-10.300F4X3_000001.tif
11,693.98,29.73,1.38e+004,39.51,3.23e+004,53.04,22.12,0.42,0.25,105.82,41.25,25184.00,2.57,5.89,149.58,124.20,1.20,-85.00,1.00,236.00,625.00,245.00,9979.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,845,60,861,0,73,91,1.7076,"2008-03-11 16:00:24.087",S04.2008-03-10.300F4X3_000001.tif
12,973.91,35.21,2.29e+004,44.29,4.55e+004,53.94,33.69,0.62,0.20,102.90,40.43,34368.00,3.11,7.64,195.05,139.22,1.40,10.00,1.00,236.00,625.00,245.00,9979.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,393,698,0,118,91,69,1.7076,"2008-03-11 16:00:24.087",S04.2008-03-10.300F4X3_000001.tif
13,437.38,23.60,6.88e+003,32.45,1.79e+004,39.89,23.95,0.60,0.27,77.90,30.56,11685.00,3.17,7.85,132.09,102.01,1.29,10.00,1.00,174.00,2425.00,290.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44,392,93,118,83,75,1.7076,"2008-03-11 16:00:24.528",S04.2008-03-10.300F4X3_000001.tif
14,320.75,20.21,4.32e+003,25.97,9.17e+003,27.70,23.17,0.84,0.22,88.79,37.99,9767.00,2.68,6.26,103.94,81.65,1.27,-65.00,1.00,174.00,2425.00,290.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,591,543,178,118,74,76,1.7076,"2008-03-11 16:00:24.528",S04.2008-03-10.300F4X3_000001.tif
15,521.95,25.78,8.97e+003,30.48,1.48e+004,39.88,20.31,0.51,0.15,103.02,40.97,18440.00,2.06,4.24,116.26,95.82,1.21,-65.00,1.00,280.00,551.00,199.00,56.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,493,607,254,118,75,81,1.7076,"2008-03-11 16:00:24.939",S04.2008-03-10.300F4X3_000001.tif
16,271.18,18.58,3.36e+003,29.69,1.37e+004,40.70,14.09,0.35,0.37,53.78,15.38,5002.00,3.29,8.23,105.94,93.34,1.14,65.00,1.00,224.00,0.00,236.00,7696.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,880,464,331,118,73,82,1.7076,"2008-03-11 16:00:25.189",S04.2008-03-10.300F4X3_000001.tif
17,13086.55,129.08,1.13e+006,146.65,1.65e+006,178.32,107.14,0.60,0.12,170.86,41.67,766839.00,1.97,3.93,569.18,461.01,1.23,65.00,1.00,222.00,0.00,271.00,2913.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,225,275,406,118,134,158,1.7076,"2008-03-11 16:00:25.590",S04.2008-03-10.300F4X3_000001.tif
18,405.31,22.72,6.14e+003,27.01,1.03e+004,33.61,17.08,0.51,0.16,101.88,41.93,14162.00,2.18,4.63,105.36,84.90,1.24,-75.00,1.00,205.00,3615.00,230.00,1902.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217,273,542,118,70,79,1.7076,"2008-03-11 16:00:26.311",S04.2008-03-10.300F4X3_000001.tif
19,478.21,24.68,7.87e+003,34.14,2.08e+004,43.25,20.49,0.47,0.28,101.52,43.61,16649.00,3.89,10.11,152.83,107.32,1.42,-80.00,1.00,210.00,4068.00,253.00,4097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498,248,614,118,72,85,1.7076,"2008-03-11 16:00:26.541",S04.2008-03-10.300F4X3_000001.tif
20,399.48,22.55,6.01e+003,30.81,1.53e+004,39.59,18.78,0.47,0.27,98.27,42.23,13463.00,3.18,7.85,126.26,96.86,1.30,-80.00,1.00,210.00,4068.00,253.00,4097.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,791,493,688,118,71,83,1.7076,"2008-03-11 16:00:26.541",S04.2008-03-10.300F4X3_000001.tif
21,364.49,21.54,5.23e+003,25.76,8.95e+003,29.24,22.23,0.76,0.16,79.45,33.33,9931.00,2.77,6.54,112.60,80.99,1.39,-30.00,1.00,192.00,1200.00,295.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,233,686,761,118,75,75,1.7076,"2008-03-11 16:00:27.222",S04.2008-03-10.300F4X3_000001.tif
22,641.50,28.58,1.22e+004,32.24,1.75e+004,35.84,28.56,0.80,0.11,99.10,36.06,21803.00,1.58,2.57,112.77,101.35,1.11,-55.00,1.00,247.00,0.00,247.00,3219.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,815,504,838,118,77,78,1.7076,"2008-03-11 16:00:27.432",S04.2008-03-10.300F4X3_000001.tif
23,653.16,28.84,1.26e+004,31.93,1.70e+004,36.03,28.84,0.80,0.10,103.64,37.82,23215.00,1.52,2.34,111.60,100.37,1.11,85.00,1.00,215.00,8821.00,285.00,1746.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,862,111,917,118,77,81,1.7076,"2008-03-11 16:00:27.843",S04.2008-03-10.300F4X3_000001.tif
24,714.39,30.16,1.44e+004,42.73,4.09e+004,52.63,28.04,0.53,0.29,73.67,37.51,18050.00,6.77,19.23,246.59,134.33,1.84,75.00,1.00,215.00,8821.00,285.00,1746.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,861,456,0,278,79,90,1.7076,"2008-03-11 16:00:27.843",S04.2008-03-10.300F4X3_000001.tif
25,437.38,23.60,6.88e+003,27.55,1.09e+004,33.16,20.49,0.62,0.14,124.92,49.31,18738.00,1.79,3.31,99.11,86.61,1.14,-75.00,1.00,150.00,62.00,240.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,399,471,81,278,72,79,1.7076,"2008-03-11 16:00:28.674",S04.2008-03-10.300F4X3_000001.tif
26,510.28,25.49,8.67e+003,30.44,1.48e+004,36.89,25.35,0.69,0.16,109.69,39.67,19195.00,2.17,4.61,118.02,95.68,1.23,-65.00,1.00,264.00,24740.00,280.00,3005.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13,200,155,278,75,80,1.7076,"2008-03-11 16:00:29.145",S04.2008-03-10.300F4X3_000001.tif
27,507.37,25.42,8.60e+003,27.54,1.09e+004,31.08,21.85,0.70,0.08,126.14,43.63,21948.00,1.35,1.61,92.70,86.58,1.07,-35.00,1.00,184.00,6.00,249.00,573.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,107,295,232,278,76,76,1.7076,"2008-03-11 16:00:29.385",S04.2008-03-10.300F4X3_000001.tif
28,2379.37,55.04,8.73e+004,69.05,1.72e+005,83.26,56.35,0.68,0.20,171.55,54.21,139983.00,2.69,6.31,283.85,217.08,1.31,20.00,1.00,218.00,662.00,231.00,4089.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,218,378,310,278,107,93,1.7076,"2008-03-11 16:00:29.585",S04.2008-03-10.300F4X3_000001.tif
29,189.53,15.53,1.96e+003,27.43,1.08e+004,39.89,6.65,0.17,0.43,72.08,34.91,4685.00,3.48,8.82,91.04,86.24,1.06,-80.00,1.00,193.00,2932.00,233.00,2398.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,833,66,419,278,66,83,1.7076,"2008-03-11 16:00:29.836",S04.2008-03-10.300F4X3_000001.tif
30,431.55,23.44,6.74e+003,26.82,1.01e+004,32.63,18.78,0.58,0.13,84.58,39.12,12518.00,1.92,3.75,101.94,84.31,1.21,-85.00,1.00,193.00,1812.00,235.00,2872.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,598,155,487,278,71,79,1.7076,"2008-03-11 16:00:30.266",S04.2008-03-10.300F4X3_000001.tif
31,437.38,23.60,6.88e+003,31.78,1.68e+004,41.87,14.93,0.36,0.26,104.34,43.16,15651.00,2.47,5.59,116.60,99.92,1.17,10.00,1.00,264.00,2878.00,258.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,302,649,560,278,84,70,1.7076,"2008-03-11 16:00:31.198",S04.2008-03-10.300F4X3_000001.tif
32,408.23,22.80,6.20e+003,27.81,1.13e+004,34.68,19.19,0.55,0.18,103.24,39.12,14454.00,2.35,5.19,109.77,87.42,1.26,-70.00,1.00,264.00,2878.00,258.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,848,718,646,278,74,49,1.7076,"2008-03-11 16:00:31.198",S04.2008-03-10.300F4X3_000001.tif
33,265.35,18.38,3.25e+003,32.46,1.79e+004,46.23,8.54,0.18,0.43,43.79,13.17,3985.00,3.85,10.01,113.36,102.03,1.11,-85.00,1.00,189.00,5236.00,240.00,3508.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,684,408,722,278,65,87,1.7076,"2008-03-11 16:00:31.408",S04.2008-03-10.300F4X3_000001.tif
34,338.24,20.75,4.68e+003,26.83,1.01e+004,33.07,18.12,0.55,0.23,75.11,38.14,8713.00,5.03,13.73,146.24,84.34,1.73,20.00,1.00,189.00,5236.00,240.00,3508.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,523,413,789,278,78,72,1.7076,"2008-03-11 16:00:31.408",S04.2008-03-10.300F4X3_000001.tif
35,303.25,19.65,3.97e+003,25.21,8.38e+003,30.89,18.78,0.61,0.22,75.43,36.21,7845.00,2.99,7.26,106.77,79.23,1.35,-70.00,1.00,231.00,1298.00,244.00,1156.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,691,577,869,278,71,77,1.7076,"2008-03-11 16:00:31.889",S04.2008-03-10.300F4X3_000001.tif
36,626.92,28.25,1.18e+004,36.80,2.61e+004,44.89,24.32,0.54,0.23,83.34,39.92,17919.00,2.60,6.01,143.17,115.69,1.24,-20.00,1.00,181.00,2939.00,260.00,1230.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,266,589,0,373,86,77,1.7076,"2008-03-11 16:00:32.339",S04.2008-03-10.300F4X3_000001.tif
